조사일,품목,단위,가격,비고
2022-04-15,닭고기,1마리 1kg,8680,신세계카드 20%할인
2022-04-15,배추,1포기,3580,국내산 손질배추
2022-04-15,무,1개,1450,국내산 세척무 신세계카드 1160
2022-04-15,양파,1.5kg,2650,"/1망1.8kg 3,180원/카드 2544 국내산"
2022-04-15,상추,100g ,1090,"논산양촌/1팩 200g 2,180원"
2022-04-15,오이,1개,796,"국내산 백오이/1팩 5개 3,980원"
2022-04-15,애호박,1개,990,진주드림
2022-04-15,달걀,30구,6980,일판란특란
2022-04-22,배,1개,3933,"저탄소인증배/1팩 3~4 11,800원"
2022-04-22,사과,1개,2225,"국민의 힘고산지사과//1팩 4~6개 8,900원"
2022-04-22,쇠고기,100g (1),5880,농협 고령
2022-04-22,조기,1마리 15cm,980,"국내산 해동/1팩 5마리 4,900원"
2022-04-22,명태,100g ,1880,도투람김제엘피시
2022-04-22,돼지고기,1마리 35cm ,6250,"국내산 해동/1팩 2마리 12,500원"
2022-04-22,오징어,1마리 45cm ,5980,러시아산 냉동토막동태
2022-04-22,고등어,1마리 30cm ,1320,"국내산 간고등어/1팩 3마리 3,960원"
2022-04-22,닭고기,1마리 1kg,8680,무항생제 마니커
2022-04-22,배추,1포기,3580,국내산 손질배추
2022-04-22,무,1개,1450,국내산 세척무
2022-04-22,양파,1.5kg,3317,"국내산/1망 1.8kg 3,980원"
2022-04-22,상추,100g ,1090,"논산양촌//1팩 200g 2,180원 신세계카드 1526"
2022-04-22,오이,1개,790,"국내산 백외이/1팩 5개 3,990원"
2022-04-22,애호박,1개,1580,진주애
2022-04-22,달걀,30구,6980,일판란특란
2022-05-05,배,1개,4267,"저탄소인증배//1팩 3~4개 12,800원"
2022-05-05,사과,1개,2225,"고당도 고산지사과//1팩 4~6개 8,900원"
2022-05-05,쇠고기,100g (1),5580,부경축산물공판장
2022-05-05,조기,1마리 10cm ,580,"제주참조기 해동/5마리 2,900원"
2022-05-05,명태,100g ,2880,충남양동농협 포크릴
2022-05-05,돼지고기,1마리 30cm 2마리,7900,국내산 해동
2022-05-05,오징어,1마리 45cm ,2980,러시아산 냉동 토막동태
2022-05-05,고등어,1마리 35cm ,2950,"노르웨이산 자반 1손 5,900원"
2022-05-05,닭고기,1마리 1kg,7980,무항생제 마니커
2022-05-05,배추,1포기,3580,국내산 손질배추
2022-05-05,무,1개,1880,국내산 세척무
2022-05-05,양파,1.5kg,3317,"1망 1.8kg 3,980원 신세계카드 2786"
2022-05-05,상추,100g,790,"논산양촌/1망 200g 1,580원"
2022-05-05,오이,1개,596,"국내산 백오이/1팩 5개 2,980원"
2022-05-05,애호박,1개,990,진주드림
2022-05-05,달걀,30구,6980,일판란특란
